responsibility,duration,location
Sysadmin,4 años y 11 meses,Null
Soporte web,9 meses,Null
Ingeniero soporte web,ene 2014 – ene 2015,Null
Servicios de TI,2004 – 2013,Null
Jefe de equipo,---,Null
Tecnico en sistemas,oct 2020 – actualidad,Null
Analista de desarrolo tecnológico,ago 2017 – ene 2019,Null
Ingeniero de capital intelectual,oct 2020 – actualidad,Null
Ingeniero de desarrollo de software,feb 2020 – actualidad,Null
Ingeniero de Sistemas,sept 2019 – dic 2019,Null
Asesor Banca Empresas,nov 2018 – ago 2019,Null
Docente Redes y Telecomunicaciones,dic 2019 – dic 2020,Null
Auxiliar docente,jul 2017 – sept 2019,Null
Consultor Senior,3 años y 6 meses,Null
Freelance,dic 2020 – actualidad,Null
Ingeniero de sistemas,sept 2019 – sept 2020,Null
Ingeniero de Sistemas,mar 2019 – sept 2019,Null
Ingeniero de Sitemas,2015 – ene 2017,Null
Ingeniero de Sistemas,feb 2014 – actualidad,Null
Ingeniero de Sistemas,may 2019 – jul 2020,Null
Desarrollador web,dic 2019 – actualidad,Null
Profesional,nov 2016 – nov 2019,Null
Apoyo Control de Proyectos,may 2016 – oct 2016,Null
Apoyo Control Proyectos,sept 2013 – dic 2015,Null
Gestor comercial,dic 2011 – sept 2013,Null
Supervisor de operaciones,jun 2011 – nov 2011,Null
Backend developer.,jun 2013 – actualidad,Null
Support Engineer,ago 2016 – actualidad,Null
Engineer,ene 2018 – actualidad,Null
CEO,oct 2018 – nov 2018,Null
Auxiliar administrativo,abr 2016 – dic 2016,Null
Asistente de Geoportal,ene 2015 – jul 2015,Null
Administrador de Plataforma Blended Learning - Moodle,ago 2014 – feb 2015,Null
Capacitador Robotica Educativa,ago 2012 – dic 2014,Null
Lider Tecnico en Gestion de Proyectos de TI,nov 2018 – ene 2021,Null
Desarrollo de software RPG(AS400) & soporte,abr 2019 – actualidad,Null
Jefe de secretaría,sept 2019 – actualidad,Null
Auxiliar administrativo,jun 2018 – sept 2019,Null
Administrador de Redes y Telecomunicaciones,5 años y 2 meses,Null
Administrador de TI,jun 2019 – actualidad,Null
Ingeniero de Sistemas,oct 2016 – jun 2019,Null
Administrador de TI,feb 2018 – actualidad,Null
Adminsitardor de Redes,jun 2014 – oct 2014,Null
Coordinadora MTIC,feb 2013 – abr 2014,Null
Administradora de Redes academicas,nov 2013 – actualidad,Null
Arquitecto de software,2 años y 8 meses,Null
Desarrollador Senior C# y PHP,oct 2020 - actualidad,Null
Asistente administrativo,dic 2019 - oct 2020,Null
Asistente administrativo,oct 2017 - dic 2019,Null
Auxiliar de acreditacion y autoevaluacion,4 años y 2 meses,Null
Asistente tecnico,ago 2011 – ago 2013,Null
Ingeniero de desarrollo de software,ene 2010 - jun 2011,Null
Supernumerario (Ingeniero de Aplicaciones y Bases de Datos).,jun 2015 – dic 2015,Null
Coordinador Departamental,ene 2015 – oct 2015,Null
Gestor de Zona I,mar 2016 – jul 2016,Null
Coordinador Departamental,abr 2016 – jun 2016,Null
Coordinador Senior,oct 2010 – ene 2017,Null
Ingeniero Administrador Networking,jun 2007 – sept 2010,Null
TECNOLOGO NETWORKING,ene 2018 – actualidad,Null
Information Technology Analyst,ene 2018 – dic 2020,Null
IT Support Engineer,abr 2019 – actualidad,Null
IT Support Engineer,may 2017 – mar 2019,Null
PROFESIONAL DE PROGRAMACION Y CONTROL PROYECTO,feb 2014 – abr 2017,Null
PROFESIONAL DE PROGRAMACION Y CONTROL PROYECTO,abr 2019 – actualidad,Null
Jefe de Cartera,feb 2016 – mar 2019,Null
Auxiliar administrativo,ene 2020 – actualidad,Null
Especialista Seguridad informatica - Proyecto de transformación digital,feb 2014 – dic 2019,Null
Profesional Seguridad Informatica,mar 2014 – ago 2014,Null
Null,nov 2013 – mar 2014,Null
Null,ene 2018 – dic 2018,Null
Null,mar 2017 – dic 2017,Null
Null,jun 2015 – dic 2016,Null
Null,ene 2015 – oct 2015,Null
Null,abr 2017 – sept 2017,Null
Null,feb 2017 – mar 2017,Null
Null,dic 2017 – actualidad,Null
Null,dic 2016 – actualidad,Null
Null,ago 2019 – dic 2019,Null
Null,ago 2016 – dic 2017,Null
Null,jul 2015 – nov 2015,Null
Null,mar 2015 – jun 2015,Null
Null,feb 2021 – actualidad,Null
Null,ene 2020 – feb 2021,Null
Null,ene 2018 – dic 2019,Null
Null,may 2013 – jun 2018,Null
Null,may 2013 – jun 2018,Null
Null,abr 2016 – jun 2017,Null
Null,nov 2014 – mar 2016,Null
Null,abr 2016 – oct 2017,Null
Null,sept 2013 – mar 2016,Null
